"Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
14171928,"","START SUBSYSTEM base.component.audioSubsystem",NA,"","","","","","","","",NA
14171928,"","SUBSYSTEM READY base.component.audioSubsystem",NA,"","","","","","","","",NA
14171928,"","BEGIN",NA,"","","","","","","","",NA
14171928,"Participant ID","",1,"","","","","","","","",NA
14171928,"Participant ID","AB-H",1,"","","","","","","","",NA
14171928,"Participant ID","9",1,"","","","","","","","",NA
14171928,"Instructions","",1,"","","","","","","","",NA
14171928,"Instructions","audio started",1,"","","","","","","","",NA
14171928,"Instructions","audio finished",1,"","","","","","","","",NA
14171928,"Instructions","",1,"","","","","","","","",NA
14171928,"Practice","audio started",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","audio finished",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","beb",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","audio started",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","audio finished",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
14171928,"Practice","audio started",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","audio finished",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","pap",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","audio started",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","audio finished",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Practice","",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
14171928,"Ready","",1,"","","","","","","","",NA
14171928,"Trials_blk1","audio started",0,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","audio finished",0,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","meb",1,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","",0,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","audio started",1,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","audio finished",1,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","",1,"Todd has a cat named ___","meb_sent.mp3","meb_word.mp3","meb","beb","meb","m","e",0
14171928,"Trials_blk1","audio started",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio finished",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio started",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio finished",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio started",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio finished",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","kack",1,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","",0,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio started",1,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio finished",1,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","",1,"Ted has a pup named ___","ka_50_sent.mp3","ka_50_word.mp3","kag","kack","kack","k","a",1
14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","bib",1,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","",0,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","audio started",1,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","audio finished",1,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","",1,"Kat has a tag that read ___","bib_sent.mp3","bib_word.mp3","bib","mib","bib","b","i",0
14171928,"Trials_blk1","audio started",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","audio finished",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","pap",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","audio started",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","audio finished",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
14171928,"Trials_blk1","audio started",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","audio finished",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","beb",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","audio started",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","audio finished",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
14171928,"Trials_blk1","",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
