freq(Hz),pow(dB/Hz)
0,1.1223706203257637
5.38330078125,12.406008635031686
10.7666015625,25.63110949140703
16.14990234375,27.86121324510804
21.533203125,21.287893558170104
26.91650390625,18.662182965574456
32.2998046875,17.56329848030425
37.68310546875,23.2962428873634
43.06640625,21.680936519858214
48.44970703125,23.08526627351054
53.8330078125,22.725078052675343
59.21630859375,29.47212547006616
64.599609375,28.385571203385375
69.98291015625,30.213867554496453
75.3662109375,24.17367844832363
80.74951171875,27.012678936915407
86.1328125,18.622364224867574
91.51611328125,25.016808881118227
96.8994140625,19.847064306856353
102.28271484375,25.200816009466024
107.666015625,0.2999330433028346
113.04931640625,28.185319759859023
118.4326171875,21.307665826830394
123.81591796875,25.365479939791257
129.19921875,18.44240092358788
134.58251953125,27.483510755724183
139.9658203125,27.162253331146786
145.34912109375,27.117823955792325
150.732421875,30.39205969010643
156.11572265625,24.974832672892525
161.4990234375,19.956296070575444
166.88232421875,24.22635530950324
172.265625,25.178594186849335
177.64892578125,19.806124183665535
183.0322265625,16.78572816510972
188.41552734375,11.539879694688187
193.798828125,15.178263734521316
199.18212890625,15.634692831450307
204.5654296875,21.495391511483074
209.94873046875,14.192701793702746
215.33203125,7.838034142406146
220.71533203125,10.088753612533282
226.0986328125,12.257498963741329
231.48193359375,19.85890818851587
236.865234375,18.202603503066584
242.24853515625,14.933273163104722
247.6318359375,19.78486147091485
253.01513671875,12.118258114636046
258.3984375,12.93212277460982
263.78173828125,5.761000686866357
269.1650390625,8.942826784060403
274.54833984375,12.593357170971537
279.931640625,7.219359050584084
285.31494140625,13.129778404748127
290.6982421875,6.648157953782796
296.08154296875,12.945455904843627
301.46484375,6.139446237698591
306.84814453125,17.390304946570044
312.2314453125,14.159418812201372
317.61474609375,16.616796525246812
322.998046875,6.859899197948083
328.38134765625,12.168975963386812
333.7646484375,9.804356316115015
339.14794921875,19.50966761180435
344.53125,10.369604128705321
349.91455078125,17.69737607565977
355.2978515625,16.23880146295973
360.68115234375,9.56147817441607
366.064453125,11.84516278234578
371.44775390625,15.789801122368027
376.8310546875,2.450999302434978
382.21435546875,11.08906977255814
387.59765625,14.966047795191821
392.98095703125,14.705226591307337
398.3642578125,6.252110032629562
403.74755859375,7.896766728022049
409.130859375,13.454059058401038
414.51416015625,10.401677943977274
419.8974609375,17.307789409741194
425.28076171875,19.91873473087446
430.6640625,10.783285250413812
436.04736328125,20.75079524717301
441.4306640625,18.86381096243378
446.81396484375,20.30255491049058
452.197265625,22.171910703775794
457.58056640625,20.210598565163806
462.9638671875,20.992307838035696
468.34716796875,16.200481168219646
473.73046875,23.773333194373375
479.11376953125,17.11086844834654
484.4970703125,23.698289035280503
489.88037109375,22.104965892519242
495.263671875,17.344458558378435
500.64697265625,20.534810773953502
506.0302734375,-0.9660925885266651
511.41357421875,19.053272369521984
516.796875,20.526978852107945
522.18017578125,16.456016708368832
527.5634765625,6.577748053979549
532.94677734375,13.802041887087777
538.330078125,17.644832397554897
543.71337890625,19.15134969866529
549.0966796875,14.919924645208294
554.47998046875,18.67195699212176
559.86328125,23.045849870484496
565.24658203125,18.769891701116727
570.6298828125,12.350110989052608
576.01318359375,15.590298008042279
581.396484375,20.475987823867552
586.77978515625,20.812178469978914
592.1630859375,19.361859248043093
597.54638671875,15.624921449924356
602.9296875,11.746067648977256
608.31298828125,13.1350997305681
613.6962890625,17.028532893623655
619.07958984375,1.5010168899654575
624.462890625,17.37980062635167
629.84619140625,14.575439030346216
635.2294921875,15.749344561200278
640.61279296875,20.19284526466771
645.99609375,23.456297183599286
651.37939453125,18.884499133152893
656.7626953125,10.517042504603115
662.14599609375,17.47565452996964
667.529296875,13.929473508388776
672.91259765625,12.636341861993031
678.2958984375,16.296078320977326
683.67919921875,16.597397283839314
689.0625,12.348589108362535
694.44580078125,12.410673222886736
699.8291015625,15.872504096772515
705.21240234375,12.558854906578429
710.595703125,12.68908083891187
715.97900390625,15.99148712031339
721.3623046875,14.890966721411429
726.74560546875,-2.9146698947920733
732.12890625,15.316102298416023
737.51220703125,13.944242119905264
742.8955078125,13.408239982176672
748.27880859375,15.926204595109928
753.662109375,10.044483018533988
759.04541015625,10.944432356574328
764.4287109375,12.410979200400764
769.81201171875,17.65450468404629
775.1953125,16.0039059660094
780.57861328125,19.673121210690805
785.9619140625,16.14271789802131
791.34521484375,11.366478957445567
796.728515625,14.986270829916137
802.11181640625,9.81439033517907
807.4951171875,8.154391767903356
812.87841796875,18.67342307793793
818.26171875,18.664578986162102
823.64501953125,10.175796767139662
829.0283203125,10.14097074139914
834.41162109375,11.700808862137876
839.794921875,7.9611338317400016
845.17822265625,21.72855285063629
850.5615234375,22.43325625318584
855.94482421875,10.806285141620473
861.328125,-9.935929472639938
866.71142578125,14.293056190899382
872.0947265625,10.546060850497527
877.47802734375,19.738882412206625
882.861328125,23.785516410073836
888.24462890625,20.1632611141385
893.6279296875,16.005882393125887
899.01123046875,18.08904260623278
904.39453125,23.12894094085465
909.77783203125,25.364727041158538
915.1611328125,12.856370149295195
920.54443359375,23.681697025705507
925.927734375,24.45802163272915
931.31103515625,20.324801574220864
936.6943359375,22.22100981137276
942.07763671875,26.251697818229076
947.4609375,23.39534946326247
952.84423828125,14.438129617616662
958.2275390625,17.554545649963945
963.61083984375,21.55799160182876
968.994140625,23.504587020142594
974.37744140625,27.595587015190645
979.7607421875,27.92779930452962
985.14404296875,30.87879735624979
990.52734375,31.00591709901494
995.91064453125,27.679491939032825
1001.2939453125,24.57233360841044
1006.67724609375,11.878595996286803
1012.060546875,24.121428121546707
1017.44384765625,27.393870965952285
1022.8271484375,27.416711790868796
1028.21044921875,27.26198758822562
1033.59375,25.33636862650031
1038.97705078125,27.99734526095117
1044.3603515625,24.681676858019166
1049.74365234375,23.102244955907185
1055.126953125,18.750852721388817
1060.51025390625,11.413667754322208
1065.8935546875,10.229267886976729
1071.27685546875,13.369381901671192
1076.66015625,16.892116076605248
1082.04345703125,16.32321126269054
1087.4267578125,15.362461956318123
1092.81005859375,16.79004094323115
1098.193359375,16.61439882947762
1103.57666015625,10.886541876581253
1108.9599609375,20.553534514144886
1114.34326171875,26.03532496053603
1119.7265625,25.29378786964895
1125.10986328125,21.717427922462097
1130.4931640625,19.77133423967047
1135.87646484375,23.65102819447404
1141.259765625,24.63257500552
1146.64306640625,27.81197568532468
1152.0263671875,28.996663418044776
1157.40966796875,26.681590592440983
1162.79296875,22.906028114705137
1168.17626953125,15.505887966493752
1173.5595703125,18.46687371005042
1178.94287109375,22.767423892683865
1184.326171875,21.008536136724775
1189.70947265625,19.997677345334925
1195.0927734375,25.478437406022046
1200.47607421875,28.296933831601358
1205.859375,28.67082877819419
1211.24267578125,27.776396393186445
