Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,hcs1,hcs2,answer,hcs3
1,1734453937073,17/12/2024 16:45:37,1734453936909,-5,17/12/2024 11:45:36,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1734453947653,17/12/2024 16:45:47,1734453947538,-5,17/12/2024 11:45:47,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,10178.199999988079,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,hcs,,,,
3,1734453951820,17/12/2024 16:45:51,1734453951664,-5,17/12/2024 11:45:51,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,14305.199999988079,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,hcs,,,,
4,1734453955638,17/12/2024 16:45:55,1734453955505,-5,17/12/2024 11:45:55,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,advancementZone,continue_button,18145.19999998808,,,,,0,1,0,,,,,,hcs,,,,
5,1734453960315,17/12/2024 16:46:00,1734453960191,-5,17/12/2024 11:46:00,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,2,hcs_instr,advancementZone,continue_button,4680.399999976158,,,,,0,1,0,,,,,,hcs,,,,
6,1734453960803,17/12/2024 16:46:00,1734453960685,-5,17/12/2024 11:46:00,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,1,hcs_briefing,Zone1,timelimit_screen,499.90000000000146,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
7,1734453960929,17/12/2024 16:46:00,1734453960692,-5,17/12/2024 11:46:00,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,2,hcs1,content,content_web_audio,0.5999999642372131,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
8,1734453962297,17/12/2024 16:46:02,1734453962185,-5,17/12/2024 11:46:02,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,2,hcs1,Zone1,timelimit_screen,1500,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
9,1734453962407,17/12/2024 16:46:02,1734453962192,-5,17/12/2024 11:46:02,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,3,hcs2,content,content_web_audio,0.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
10,1734453963794,17/12/2024 16:46:03,1734453963685,-5,17/12/2024 11:46:03,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,3,hcs2,Zone1,timelimit_screen,1500.0999999999985,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
11,1734453963908,17/12/2024 16:46:03,1734453963692,-5,17/12/2024 11:46:03,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,4,hcs3_resp,content,content_web_audio,0.8999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
12,1734453965981,17/12/2024 16:46:05,1734453965864,-5,17/12/2024 11:46:05,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,4,hcs3_resp,btn3,response_paragraph,2171.5,,,3,1,1,0,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
13,1734453966470,17/12/2024 16:46:06,1734453966351,-5,17/12/2024 11:46:06,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,1,hcs_briefing,Zone1,timelimit_screen,500,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
14,1734453966595,17/12/2024 16:46:06,1734453966357,-5,17/12/2024 11:46:06,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,2,hcs1,content,content_web_audio,0.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
15,1734453968066,17/12/2024 16:46:08,1734453967852,-5,17/12/2024 11:46:07,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,2,hcs1,Zone1,timelimit_screen,1500,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
16,1734453968198,17/12/2024 16:46:08,1734453967858,-5,17/12/2024 11:46:07,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,3,hcs2,content,content_web_audio,0.6000000238418579,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
17,1734453969462,17/12/2024 16:46:09,1734453969351,-5,17/12/2024 11:46:09,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,3,hcs2,Zone1,timelimit_screen,1500.0000000000036,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
18,1734453969573,17/12/2024 16:46:09,1734453969358,-5,17/12/2024 11:46:09,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,4,hcs3_resp,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
19,1734453971010,17/12/2024 16:46:11,1734453970869,-5,17/12/2024 11:46:10,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,2,4,hcs3_resp,btn2,response_paragraph,1511.699999988079,,,2,1,1,0,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
20,1734453971479,17/12/2024 16:46:11,1734453971368,-5,17/12/2024 11:46:11,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,1,hcs_briefing,Zone1,timelimit_screen,500,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
21,1734453971581,17/12/2024 16:46:11,1734453971374,-5,17/12/2024 11:46:11,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,2,hcs1,content,content_web_audio,0.800000011920929,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
22,1734453972982,17/12/2024 16:46:12,1734453972868,-5,17/12/2024 11:46:12,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,2,hcs1,Zone1,timelimit_screen,1499.9000000000015,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
23,1734453973104,17/12/2024 16:46:13,1734453972875,-5,17/12/2024 11:46:12,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,3,hcs2,content,content_web_audio,0.6000000238418579,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
24,1734453974494,17/12/2024 16:46:14,1734453974368,-5,17/12/2024 11:46:14,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,3,hcs2,Zone1,timelimit_screen,1500.0999999999985,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
25,1734453974615,17/12/2024 16:46:14,1734453974374,-5,17/12/2024 11:46:14,170312,15,task-7tte,,42081924,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,4,hcs3_resp,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
