Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Spreadsheet: vot,Spreadsheet: coda_vc,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
158,1734454112472,17/12/2024 16:48:32,1734436112472,-5,17/12/2024 06:48:32,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,18,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,122.80000001192093,116.60000000000582,122.80000001192093,122.80000001192093,116.60000000000582,122.80000001192093,1,122.80000001192093,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,long,1,,,,55,,
159,1734454112917,17/12/2024 16:48:32,1734436112917,-5,17/12/2024 06:48:32,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,18,Trials_blk1,Screen 3,2d6z4v,2,continue,,566.1000000000058,566.1000000000058,566.1000000000058,566.1000000000058,566.1000000000058,566.1000000000058,1,566.1000000000058,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,long,1,,,,55,,
160,1734454115207,17/12/2024 16:48:35,1734436115207,-5,17/12/2024 06:48:35,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Break,Screen 1,wsvia4,1,continue,,2291.700000011915,2283.899999999994,2291.700000011915,2291.700000011915,2283.899999999994,2291.700000011915,1,2291.700000011915,0,0,,Click To Continue,Continue Button,2,object-51,Break,,,,,,,,,,,,,,,55,,
161,1734454115214,17/12/2024 16:48:35,1734436115214,-5,17/12/2024 06:48:35,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 1,xaswna,1,info,audio started,15,0,15,15,0,15,0,15,0,0,,Audio Clip,Audio,3,object-102,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,55,,
162,1734454116966,17/12/2024 16:48:36,1734436116966,-5,17/12/2024 06:48:36,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 1,xaswna,1,info,audio finished,1766.300000011921,1750,1766.300000011921,1766.300000011921,1750,1766.300000011921,0,1766.300000011921,0,0,,Audio Clip,Audio,3,object-102,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,55,,
163,1734454117665,17/12/2024 16:48:37,1734436117665,-5,17/12/2024 06:48:37,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 1,xaswna,1,response,kag,2465.2000000476837,2450,2465.2000000476837,2465.2000000476837,2450,2465.2000000476837,1,2465.2000000476837,0,0,,Click Response,Card1,7,object-106,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,57,,
164,1734454117665,17/12/2024 16:48:37,1734436117665,-5,17/12/2024 06:48:37,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 1,xaswna,1,continue,,2466.2000000476837,2450,2466.2000000476837,2466.2000000476837,2450,2466.2000000476837,0,2466.2000000476837,0,0,,Click To Continue,Card1,7,object-106,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,57,,
165,1734454117668,17/12/2024 16:48:37,1734436117668,-5,17/12/2024 06:48:37,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 2,u6rw25,2,info,audio started,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Audio Clip,Audio,2,object-65,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,57,,
166,1734454117770,17/12/2024 16:48:37,1734436117770,-5,17/12/2024 06:48:37,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 2,u6rw25,2,info,audio finished,120.5,116.60000000000582,120.5,120.5,116.60000000000582,120.5,1,120.5,0,0,,Audio Clip,Audio,2,object-65,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,57,,
167,1734454118217,17/12/2024 16:48:38,1734436118217,-5,17/12/2024 06:48:38,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Trials_blk2,Screen 2,u6rw25,2,continue,,566,566,566,566,566,566,1,566,0,0,,Fixation Timing,Fixation,1,object-64,Trials_blk2,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,long,1,,,,57,,
