Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,hcs1,hcs2,answer,hcs3
36,1734498077699,18/12/2024 05:01:17,1734498080730,-5,18/12/2024 00:01:20,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,3,hcs2,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
37,1734498079080,18/12/2024 05:01:19,1734498082228,-5,18/12/2024 00:01:22,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,3,hcs2,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
38,1734498079178,18/12/2024 05:01:19,1734498082233,-5,18/12/2024 00:01:22,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,4,hcs3_resp,content,content_web_audio,0.40000003576278687,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
39,1734498080759,18/12/2024 05:01:20,1734498083908,-5,18/12/2024 00:01:23,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,4,hcs3_resp,btn3,response_paragraph,1674.6000000238419,,,3,1,1,0,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
40,1734498081254,18/12/2024 05:01:21,1734498084398,-5,18/12/2024 00:01:24,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,1,hcs_briefing,Zone1,timelimit_screen,497.09999999999854,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
41,1734498081362,18/12/2024 05:01:21,1734498084402,-5,18/12/2024 00:01:24,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,2,hcs1,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
42,1734498082754,18/12/2024 05:01:22,1734498085901,-5,18/12/2024 00:01:25,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,2,hcs1,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
43,1734498082873,18/12/2024 05:01:22,1734498085904,-5,18/12/2024 00:01:25,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,3,hcs2,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
44,1734498084256,18/12/2024 05:01:24,1734498087404,-5,18/12/2024 00:01:27,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,3,hcs2,Zone1,timelimit_screen,1502.9000000000015,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
45,1734498084371,18/12/2024 05:01:24,1734498087408,-5,18/12/2024 00:01:27,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,4,hcs3_resp,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
46,1734498085738,18/12/2024 05:01:25,1734498088884,-5,18/12/2024 00:01:28,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,4,hcs3_resp,btn2,response_paragraph,1475.5,,,2,1,1,0,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
47,1734498085854,18/12/2024 05:01:25,1734498088887,-5,18/12/2024 00:01:28,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,,,END TASK,,,,,47188,,,,,0,1,0,,,,,,,,,,
END OF FILE
