sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
1,AR,2,pod,1,1,2,aw,0.076,0.226
1,AR,2,kid,3,1,2,ih,0.091,0.147
1,AR,2,tog,2,1,3,aw,0.099,0.158
1,AR,2,tag,2,1,3,ae,0.115,0.166
1,AR,2,tack,2,0,3,ae,0.09,0.104
1,AR,2,cab,3,1,1,ae,0.091,0.213
1,AR,2,pock,1,0,3,aw,0.085,0.145
1,AR,2,tad,2,1,2,ae,0.096,0.193
1,AR,2,pub,1,1,1,uh,0.111,0.093
1,AR,2,kit,3,0,2,ih,0.067,0.07
1,AR,2,ped,1,1,2,eh,0.102,0.135
1,AR,2,cap,3,0,1,ae,0.1,0.133
1,AR,2,kip,3,0,1,ih,0.07,0.058
1,AR,2,peck,1,0,3,eh,0.077,0.078
1,AR,2,pet,1,0,2,eh,0.064,0.086
1,AR,2,tab,2,1,1,ae,0.109,0.169
1,AR,2,pog,1,1,3,aw,0.085,0.206
1,AR,2,tap,2,0,1,ae,0.09,0.109
1,AR,2,cad,3,1,2,ae,0.102,0.217
1,AR,2,cob,3,1,1,aw,0.111,0.156
2,DE,1,pack,1,0,3,ae,0.063,0.143
2,DE,1,pup,1,0,1,uh,0.048,0.077
2,DE,1,cat,3,0,2,ae,0.074,0.126
2,DE,1,tup,2,0,1,uh,0.079,0.09
2,DE,1,cog,3,1,3,aw,0.071,0.159
2,DE,1,puck,1,0,3,uh,0.078,0.066
2,DE,1,pig,1,1,3,ih,0.052,0.116
2,DE,1,kick,3,0,3,ih,0.062,0.104
2,DE,1,tug,2,1,3,uh,0.079,0.131
2,DE,1,cub,3,1,1,uh,0.089,0.119
2,DE,1,tub,2,1,1,uh,0.08,0.13
2,DE,1,keg,3,1,3,eh,0.065,0.152
2,DE,1,tib,2,1,1,ih,0.061,0.115
2,DE,1,pat,1,0,2,ae,0.078,0.122
2,DE,1,top,2,0,1,aw,0.084,0.126
2,DE,1,cud,3,1,2,uh,0.077,0.137
2,DE,1,pap,1,0,1,ae,0.088,0.149
2,DE,1,tip,2,0,1,ih,0.048,0.104
2,DE,1,cod,3,1,2,aw,,
2,DE,1,pick,1,0,3,ih,0.043,0.099
2,DE,1,tot,2,0,2,aw,0.053,0.143
2,DE,1,pep,1,0,1,eh,0.072,0.086
2,DE,1,tat,2,0,2,ae,0.066,0.14
2,DE,1,cack,3,0,3,ae,0.05,0.154
2,DE,1,peg,1,1,3,eh,0.084,0.134
2,DE,1,tuck,2,0,3,uh,0.041,0.11
2,DE,1,pop,1,0,1,aw,0.058,0.139
2,DE,1,cup,3,0,1,uh,0.077,0.089
2,DE,1,tech,2,0,3,eh,0.055,0.11
2,DE,1,pad,1,1,2,ae,0.072,0.158
2,DE,1,putt,1,0,2,uh,0.059,0.1
2,DE,1,cut,3,0,2,uh,0.092,0.111
2,DE,1,Todd,2,1,2,aw,0.07,0.145
2,DE,1,cot,3,0,2,aw,0.116,0.121
2,DE,1,talk,2,0,3,aw,0.085,0.13
2,DE,1,Ted,2,1,2,eh,0.076,0.133
2,DE,1,tut,2,0,2,uh,0.089,0.1
2,DE,1,pug,1,1,3,uh,0.059,0.111
2,DE,1,pot,1,0,2,aw,0.058,0.113
2,DE,1,cop,3,0,1,aw,0.077,0.133
2,DE,1,pit,1,0,2,ih,0.048,0.104
2,DE,1,pod,1,1,2,aw,0.054,0.178
2,DE,1,kid,3,1,2,ih,0.067,0.129
2,DE,1,tog,2,1,3,aw,0.048,0.193
2,DE,1,tag,2,1,3,ae,0.058,0.192
2,DE,1,tack,2,0,3,ae,0.064,0.132
2,DE,1,cab,3,1,1,ae,0.06,0.154
2,DE,1,pock,1,0,3,aw,0.084,0.143
2,DE,1,tad,2,1,2,ae,0.075,0.179
2,DE,1,pub,1,1,1,uh,0.065,0.094
2,DE,1,kit,3,0,2,ih,0.065,0.103
2,DE,1,ped,1,1,2,eh,0.082,0.116
2,DE,1,cap,3,0,1,ae,0.069,0.138
2,DE,1,kip,3,0,1,ih,0.086,0.076
2,DE,1,peck,1,0,3,eh,0.06,0.1
2,DE,1,pet,1,0,2,eh,0.044,0.112
2,DE,1,tab,2,1,1,ae,0.034,0.157
2,DE,1,pog,1,1,3,aw,0.067,0.156
2,DE,1,tap,2,0,1,ae,0.078,0.137
2,DE,1,cad,3,1,2,ae,0.096,0.173
2,DE,1,cob,3,1,1,aw,0.093,0.144
2,DE,2,pack,1,0,3,ae,0.072,0.131
2,DE,2,pup,1,0,1,uh,0.06,0.1
2,DE,2,cat,3,0,2,ae,0.071,0.128
2,DE,2,tup,2,0,1,uh,0.079,0.088
2,DE,2,cog,3,1,3,aw,0.061,0.16
2,DE,2,puck,1,0,3,uh,0.077,0.092
2,DE,2,pig,1,1,3,ih,0.045,0.124
