sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
5,JE,1,pot,1,0,2,aw,0.105,0.149
5,JE,1,cop,3,0,1,aw,0.103,0.151
5,JE,1,pit,1,0,2,ih,0.081,0.09
5,JE,1,pod,1,1,2,aw,0.105,0.188
5,JE,1,kid,3,1,2,ih,0.095,0.12
5,JE,1,tog,2,1,3,aw,0.094,0.185
5,JE,1,tag,2,1,3,ae,0.092,0.204
5,JE,1,tack,2,0,3,ae,0.101,0.149
5,JE,1,cab,3,1,1,ae,0.093,0.195
5,JE,1,pock,1,0,3,aw,0.08,0.143
5,JE,1,tad,2,1,2,ae,0.109,0.204
5,JE,1,pub,1,1,1,uh,0.111,0.131
5,JE,1,kit,3,0,2,ih,0.089,0.084
5,JE,1,ped,1,1,2,eh,0.096,0.136
5,JE,1,cap,3,0,1,ae,0.1,0.156
5,JE,1,kip,3,0,1,ih,0.09,0.086
5,JE,1,peck,1,0,3,eh,0.086,0.08
5,JE,1,pet,1,0,2,eh,0.097,0.103
5,JE,1,tab,2,1,1,ae,0.106,0.192
5,JE,1,pog,1,1,3,aw,0.097,0.187
5,JE,1,tap,2,0,1,ae,0.102,0.158
5,JE,1,cad,3,1,2,ae,0.088,0.206
5,JE,1,cob,3,1,1,aw,0.101,0.183
5,JE,2,pack,1,0,3,ae,0.07,0.145
5,JE,2,pup,1,0,1,uh,0.08,0.081
5,JE,2,cat,3,0,2,ae,0.08,0.163
5,JE,2,tup,2,0,1,uh,0.085,0.088
5,JE,2,cog,3,1,3,aw,0.083,0.159
5,JE,2,puck,1,0,3,uh,0.074,0.09
5,JE,2,pig,1,1,3,ih,0.072,0.118
5,JE,2,kick,3,0,3,ih,0.1,0.085
5,JE,2,tug,2,1,3,uh,0.096,0.116
5,JE,2,cub,3,1,1,uh,0.08,0.118
5,JE,2,tub,2,1,1,uh,0.086,0.116
5,JE,2,keg,3,1,3,eh,0.093,0.136
5,JE,2,tib,2,1,1,ih,0.1,0.109
5,JE,2,pat,1,0,2,ae,0.091,0.168
5,JE,2,top,2,0,1,aw,0.089,0.144
5,JE,2,cud,3,1,2,uh,0.087,0.114
5,JE,2,pap,1,0,1,ae,0.08,0.155
5,JE,2,tip,2,0,1,ih,0.096,0.079
5,JE,2,cod,3,1,2,aw,0.096,0.172
5,JE,2,pick,1,0,3,ih,0.086,0.063
5,JE,2,tot,2,0,2,aw,0.091,0.15
5,JE,2,pep,1,0,1,eh,0.07,0.098
5,JE,2,tat,2,0,2,ae,0.077,0.154
5,JE,2,cack,3,0,3,ae,0.099,0.157
5,JE,2,peg,1,1,3,eh,0.077,0.152
5,JE,2,tuck,2,0,3,uh,0.081,0.079
5,JE,2,pop,1,0,1,aw,0.096,0.143
5,JE,2,cup,3,0,1,uh,0.102,0.088
5,JE,2,tech,2,0,3,eh,0.076,0.092
5,JE,2,pad,1,1,2,ae,0.097,0.205
5,JE,2,putt,1,0,2,uh,0.081,0.098
5,JE,2,cut,3,0,2,uh,0.155,0.108
5,JE,2,todd,2,1,2,aw,0.085,0.17
5,JE,2,cot,3,0,2,aw,0.094,0.146
5,JE,2,talk,2,0,3,aw,0.084,0.117
5,JE,2,ted,2,1,2,eh,0.081,0.117
5,JE,2,tut,2,0,2,uh,0.095,0.091
5,JE,2,pug,1,1,3,uh,0.096,0.115
5,JE,2,pot,1,0,2,aw,0.102,0.159
