"","Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
"51",14171928,"Trials_blk1","audio started",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"52",14171928,"Trials_blk1","audio finished",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"53",14171928,"Trials_blk1","pap",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"54",14171928,"Trials_blk1","",0,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"55",14171928,"Trials_blk1","audio started",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"56",14171928,"Trials_blk1","audio finished",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"57",14171928,"Trials_blk1","",1,"Kip has a toad named ___","pa_25_sent.mp3","pa_25_word.mp3","pab","pap","pap","p","a",1
"58",14171928,"Trials_blk1","audio started",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"59",14171928,"Trials_blk1","audio finished",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"60",14171928,"Trials_blk1","beb",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"61",14171928,"Trials_blk1","",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"62",14171928,"Trials_blk1","audio started",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"63",14171928,"Trials_blk1","audio finished",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"64",14171928,"Trials_blk1","",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",0
"65",14171928,"Trials_blk1","audio started",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"66",14171928,"Trials_blk1","audio finished",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"67",14171928,"Trials_blk1","audio started",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"68",14171928,"Trials_blk1","audio finished",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"69",14171928,"Trials_blk1","kip",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"70",14171928,"Trials_blk1","",0,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"71",14171928,"Trials_blk1","audio started",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"72",14171928,"Trials_blk1","audio finished",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"73",14171928,"Trials_blk1","",1,"Peg has a tot that said ___","ki_50_sent.mp3","ki_50_word.mp3","kip","kib","kip","p","i",1
"74",14171928,"Trials_blk1","audio started",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"75",14171928,"Trials_blk1","audio finished",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"76",14171928,"Trials_blk1","neb",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"77",14171928,"Trials_blk1","",0,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"78",14171928,"Trials_blk1","audio started",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"79",14171928,"Trials_blk1","audio finished",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"80",14171928,"Trials_blk1","",1,"Pat had a toad that said ___","neb_sent.mp3","neb_word.mp3","geb","neb","neb","n","e",0
"81",14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"82",14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"83",14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"84",14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"85",14171928,"Trials_blk1","pip",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"86",14171928,"Trials_blk1","",0,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"87",14171928,"Trials_blk1","audio started",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"88",14171928,"Trials_blk1","audio finished",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
"89",14171928,"Trials_blk1","",1,"Kat has a tag that read ___","pi_25_sent.mp3","pi_25_word.mp3","pib","pip","pip","p","i",1
